File,Creation,Time,UTC,7/30/22,4:09:52,,,,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,,,,
SW,Version,v01.09,,,,,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,,,,
SW,StartTime,7/22/22,3:48:23,,,,,,,,,,
Lib,Version,v1.6.3,,,,,,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,,,,
OS,Version,v10.0.17763.865,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
,Scan,mode,MPC,,,,,,,,,,
,DataGetDelay_Seconds,10,,,,,,,,,,,
,,,,,,,,,,,,,
Found,Hardware,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,,,,
,0x10,200330,D0.22,98.26.06,2,,,,,,,,
,0x13,200328,D0.22,98.26.06,2,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,
7/30/22,7:03:25,10,200330,25SQCMICSBB827200B0CF,DPC,7/30/22,03:15.2,7/30/22,03:15.2,7,Unknown,x,
7/30/22,7:05:07,13,200328,25SQCMICSBB04CF00B0B7,DPC,7/30/22,04:56.6,7/30/22,04:56.6,56,Departing,x,x
7/30/22,7:05:37,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,05:26.7,7/30/22,05:26.7,30,Arriving,x,x
7/30/22,7:05:47,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,05:36.8,7/30/22,05:36.8,28,Unknown,x,
7/30/22,7:09:39,13,200328,25SQCMICSBBBF4700B038,DPC,7/30/22,09:28.6,7/30/22,09:28.6,15,Unknown,x,
7/30/22,7:09:49,13,200328,25SQCMICSBBBF4700B038,DPC,7/30/22,09:38.6,7/30/22,09:38.6,5,Arriving,x,x
7/30/22,7:10:59,13,200328,25SQCMICSBB6FF200970C,DPC,7/30/22,10:49.1,7/30/22,10:49.1,46,Arriving,x,x
7/30/22,7:14:31,13,200328,25SQCMICSBBBF4700B038,DPC,7/30/22,14:20.6,7/30/22,14:20.6,53,Departing,x,x
7/30/22,7:17:52,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,17:42.0,7/30/22,17:42.0,29,Departing,x,x
7/30/22,7:21:24,13,200328,25SQCMICSBBB34500AA3F,DPC,7/30/22,21:13.4,7/30/22,21:13.4,21,Unknown,x,
7/30/22,7:24:55,13,200328,25SQCMICSBB6FF200970C,DPC,7/30/22,24:45.0,7/30/22,24:45.0,7,Unknown,x,
7/30/22,7:25:05,13,200328,25SQCMICSBB6FF200970C,DPC,7/30/22,24:55.0,7/30/22,24:55.0,10,Departing,x,x
7/30/22,7:27:26,13,200328,25SQCMICSBB0F9D00970B,DPC,7/30/22,27:16.0,7/30/22,27:16.0,68,Arriving,x,x
7/30/22,7:34:49,13,200328,25SQCMICSBB0F9D00970B,DPC,7/30/22,34:39.1,7/30/22,34:39.1,35,Departing,x,x
7/30/22,7:36:40,13,200328,25SQCMICSBBB34500AA3F,DPC,7/30/22,36:29.9,7/30/22,36:29.9,1,Unknown,x,
7/30/22,7:37:00,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,36:50.1,7/30/22,36:50.1,92,Arriving,x,x
7/30/22,7:39:41,13,200328,25SQCMICSBB7DEE00B17C,DPC,7/30/22,39:31.2,7/30/22,39:31.2,136,Departing,x,x
7/30/22,7:42:53,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,42:42.6,7/30/22,42:42.6,4,Unknown,x,
7/30/22,7:43:03,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,42:52.7,7/30/22,42:52.7,31,Departing,x,x
7/30/22,7:49:35,10,200330,25SQCMICSBBD71F009653,DPC,7/30/22,49:24.9,7/30/22,49:24.9,20,Departing,x,x
7/30/22,7:54:38,13,200328,25SQCMICSBBBF4700B038,DPC,7/30/22,54:27.5,7/30/22,54:27.5,135,Arriving,x,x
7/30/22,7:54:48,13,200328,25SQCMICSBBBF4700B038,DPC,7/30/22,54:37.6,7/30/22,54:37.6,3,Unknown,x,
7/30/22,7:55:08,13,200328,25SQCMICSBBB34500AA3F,DPC,7/30/22,54:57.7,7/30/22,54:57.7,10,Departing,x,x
7/30/22,7:57:48,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,57:38.1,7/30/22,57:38.1,41,Departing,x,x
7/30/22,7:58:59,13,200328,25SQCMICSBB0F9D00970B,DPC,7/30/22,58:49.2,7/30/22,58:49.2,98,Arriving,x,x
7/30/22,7:59:19,13,200328,25SQCMICSBBBF4700B038,DPC,7/30/22,59:09.4,7/30/22,59:09.4,36,Departing,x,x
7/30/22,8:02:20,10,200330,25SQCMICSBB06F800B0D5,DPC,7/30/22,02:10.1,7/30/22,02:10.1,25,Departing,x,x
7/30/22,8:02:30,10,200330,25SQCMICSBB06F800B0D5,DPC,7/30/22,02:20.2,7/30/22,02:20.2,11,Unknown,x,
7/30/22,8:02:40,10,200330,25SQCMICSBB06F800B0D5,DPC,7/30/22,02:30.3,7/30/22,02:30.3,1,Unknown,x,
7/30/22,8:04:42,13,200328,25SQCMICSBB6FF200970C,DPC,7/30/22,04:31.7,7/30/22,04:31.7,41,Arriving,x,x
7/30/22,8:04:52,13,200328,25SQCMICSBB6FF200970C,DPC,7/30/22,04:41.8,7/30/22,04:41.8,16,Unknown,x,
7/30/22,8:06:53,13,200328,25SQCMICSBBE316009D02,DPC,7/30/22,06:42.7,7/30/22,06:42.7,42,Departing,x,x
7/30/22,8:08:13,10,200330,25SQCMICSBBD71F009653,DPC,7/30/22,08:02.7,7/30/22,08:02.7,30,Departing,x,x
7/30/22,8:08:23,10,200330,25SQCMICSBBD71F009653,DPC,7/30/22,08:12.8,7/30/22,08:12.8,50,Arriving,x,x
7/30/22,8:09:44,13,200328,25SQCMICSBB6FF200970C,DPC,7/30/22,09:33.9,7/30/22,09:33.9,28,Departing,x,x
7/30/22,8:10:04,13,200328,25SQCMICSBB7DEE00B17C,DPC,7/30/22,09:54.0,7/30/22,09:54.0,28,Arriving,x,x
7/30/22,8:13:45,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,13:35.0,7/30/22,13:35.0,64,Arriving,x,x
7/30/22,8:18:28,13,200328,25SQCMICSBB0F9D00970B,DPC,7/30/22,18:17.6,7/30/22,18:17.6,63,Departing,x,x
7/30/22,8:18:37,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,18:27.1,7/30/22,18:27.1,15,Departing,x,x
7/30/22,8:18:47,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,18:37.2,7/30/22,18:37.2,13,Unknown,x,
7/30/22,8:18:57,10,200330,25SQCMICSBB909700962F,DPC,7/30/22,18:47.3,7/30/22,18:47.3,11,Departing,x,x
7/30/22,8:18:57,10,200330,25SQCMICSBB3EA500B0F9,DPC,7/30/22,18:47.3,7/30/22,18:47.3,69,Departing,x,x
7/30/22,8:18:58,13,200328,25SQCMICSBB7DEE00B17C,DPC,7/30/22,18:47.8,7/30/22,18:47.8,64,Departing,x,x
7/30/22,8:24:20,13,200328,25SQCMICSBBE09200B0D8,DPC,7/30/22,24:10.1,7/30/22,24:10.1,90,Departing,x,x
7/30/22,8:24:30,13,200328,25SQCMICSBBE09200B0D8,DPC,7/30/22,24:20.2,7/30/22,24:20.2,4,Unknown,x,
7/30/22,8:28:11,10,200330,25SQCMICSBB06F800B0D5,DPC,7/30/22,28:01.3,7/30/22,28:01.3,13,Arriving,x,x
7/30/22,8:28:21,10,200330,25SQCMICSBB06F800B0D5,DPC,7/30/22,28:11.3,7/30/22,28:11.3,25,Unknown,x,
7/30/22,8:30:03,13,200328,25SQCMICSBBE316009D02,DPC,7/30/22,29:52.6,7/30/22,29:52.6,42,Arriving,x,x
7/30/22,8:31:13,10,200330,25SQCMICSBBF7E800AAB7,DPC,7/30/22,31:02.5,7/30/22,31:02.5,24,Departing,x,x
7/30/22,8:34:45,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,34:34.6,7/30/22,34:34.6,67,Departing,x,x
