File,Creation,Time,UTC,6/27/22,2:52:10,,,,,,,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,,,,,,,
SW,Version,v01.09,,,,,,,,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,,,,,,,
SW,StartTime,6/7/22,22:31:14,,,,,,,,,,,,,
Lib,Version,v1.6.3,,,,,,,,,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,,,,,,,
OS,Version,v10.0.17763.865,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,
,Scan,mode,MPC,,,,,,,,,,,,,
,DataGetDelay_Seconds,10,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Found,Hardware,,,,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,,,,,,,
,0x10,200330,D0.22,98.26.06,2,,,,,,,,,,,
,0x13,200328,D0.22,98.26.06,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,,,,
6/27/22,5:48:12,218,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:48:02,100,6/27/22,12:48:02,100,4,Departing,x,x
6/27/22,5:48:22,312,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:48:12,200,6/27/22,12:48:12,200,38,Departing,x,x
6/27/22,5:48:32,405,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:48:22,200,6/27/22,12:48:22,200,1,Unknown,x,
6/27/22,5:48:32,405,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:48:22,200,6/27/22,12:48:22,200,19,Departing,x,x
6/27/22,5:48:42,468,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:48:32,300,6/27/22,12:48:32,300,18,Arriving,x,x
6/27/22,5:48:42,468,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:48:32,300,6/27/22,12:48:32,300,13,Arriving,x,x
6/27/22,5:48:52,562,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:48:42,400,6/27/22,12:48:42,400,40,Departing,x,x
6/27/22,5:49:02,655,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:48:52,500,6/27/22,12:48:52,500,40,Arriving,x,x
6/27/22,5:49:12,749,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:49:02,600,6/27/22,12:49:02,600,6,Departing,x,x
6/27/22,5:49:22,827,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:49:12,700,6/27/22,12:49:12,700,21,Departing,x,x
6/27/22,5:49:32,890,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:49:22,800,6/27/22,12:49:22,800,25,Departing,x,x
6/27/22,5:49:42,952,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:49:32,900,6/27/22,12:49:32,900,67,Departing,x,x
6/27/22,5:49:53,15,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:49:42,900,6/27/22,12:49:42,900,22,Arriving,x,x
6/27/22,5:50:03,108,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:49:53,0,6/27/22,12:49:53,0,76,Departing,x,x
6/27/22,5:50:13,202,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:50:03,0,6/27/22,12:50:03,0,103,Departing,x,x
6/27/22,5:50:23,296,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:50:13,100,6/27/22,12:50:13,100,98,Departing,x,x
6/27/22,5:50:33,358,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:50:23,200,6/27/22,12:50:23,200,203,Unknown,x,
6/27/22,5:50:43,452,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:50:33,300,6/27/22,12:50:33,300,216,Unknown,x,
6/27/22,5:50:53,515,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:50:43,400,6/27/22,12:50:43,400,214,Departing,x,x
6/27/22,5:51:03,593,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:50:53,500,6/27/22,12:50:53,500,200,Departing,x,x
6/27/22,5:51:13,687,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:51:03,500,6/27/22,12:51:03,500,196,Departing,x,x
6/27/22,5:51:23,780,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:51:13,600,6/27/22,12:51:13,600,194,Departing,x,x
6/27/22,5:51:23,780,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:51:13,600,6/27/22,12:51:13,600,50,Departing,x,x
6/27/22,5:51:33,858,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:51:23,700,6/27/22,12:51:23,700,211,Departing,x,x
6/27/22,5:51:43,968,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:51:33,800,6/27/22,12:51:33,800,198,Departing,x,x
6/27/22,5:51:43,968,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:51:33,800,6/27/22,12:51:33,800,1,Unknown,x,
6/27/22,5:51:54,62,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:51:43,900,6/27/22,12:51:43,900,201,Departing,x,x
6/27/22,5:52:04,140,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:51:54,0,6/27/22,12:51:54,0,193,Departing,x,x
6/27/22,5:52:04,140,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,12:51:54,0,6/27/22,12:51:54,0,46,Arriving,x,x
6/27/22,5:52:14,218,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:52:04,100,6/27/22,12:52:04,100,204,Departing,x,x
6/27/22,5:52:24,327,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:52:14,200,6/27/22,12:52:14,200,205,Departing,x,x
6/27/22,5:52:34,390,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:52:24,200,6/27/22,12:52:24,200,101,Unknown,x,
6/27/22,5:52:44,483,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:52:34,400,6/27/22,12:52:34,400,150,Unknown,x,
6/27/22,5:52:54,577,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:52:44,400,6/27/22,12:52:44,400,87,Unknown,x,
6/27/22,5:53:04,655,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:52:54,500,6/27/22,12:52:54,500,43,Unknown,x,
6/27/22,5:53:14,765,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:53:04,600,6/27/22,12:53:04,600,15,Unknown,x,
6/27/22,5:53:25,374,13,200328,25SQCMICSBB32E900977A,DPC,6/27/22,12:53:15,300,6/27/22,12:53:15,300,45,Departing,x,x
6/27/22,5:53:34,905,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:53:24,800,6/27/22,12:53:24,800,8,Unknown,x,
6/27/22,5:53:44,999,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:53:34,900,6/27/22,12:53:34,900,48,Unknown,x,
6/27/22,5:53:55,77,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:53:44,900,6/27/22,12:53:44,900,2,Unknown,x,
6/27/22,5:53:55,624,13,200328,25SQCMICSBB32E900977A,DPC,6/27/22,12:53:45,500,6/27/22,12:53:45,500,28,Unknown,x,
6/27/22,5:54:05,733,13,200328,25SQCMICSBB32E900977A,DPC,6/27/22,12:53:55,600,6/27/22,12:53:55,600,126,Arriving,x,x
6/27/22,5:54:25,312,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:54:15,200,6/27/22,12:54:15,200,15,Unknown,x,
6/27/22,5:54:35,390,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:54:25,300,6/27/22,12:54:25,300,81,Unknown,x,
6/27/22,5:54:45,483,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:54:35,300,6/27/22,12:54:35,300,6,Unknown,x,
6/27/22,5:55:15,671,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:55:05,600,6/27/22,12:55:05,600,77,Unknown,x,
6/27/22,5:55:25,765,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:55:15,600,6/27/22,12:55:15,600,184,Unknown,x,
6/27/22,5:55:35,827,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:55:25,700,6/27/22,12:55:25,700,191,Departing,x,x
6/27/22,5:55:45,905,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:55:35,800,6/27/22,12:55:35,800,208,Arriving,x,x
6/27/22,5:55:56,15,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:55:45,900,6/27/22,12:55:45,900,174,Unknown,x,
6/27/22,5:56:06,108,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:55:55,900,6/27/22,12:55:55,900,191,Departing,x,x
6/27/22,5:56:16,171,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:56:06,0,6/27/22,12:56:06,0,178,Departing,x,x
6/27/22,5:56:26,265,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:56:16,100,6/27/22,12:56:16,100,165,Departing,x,x
6/27/22,5:56:36,358,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:56:26,200,6/27/22,12:56:26,200,170,Departing,x,x
6/27/22,5:56:46,421,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:56:36,300,6/27/22,12:56:36,300,185,Departing,x,x
6/27/22,5:56:56,499,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:56:46,400,6/27/22,12:56:46,400,174,Departing,x,x
6/27/22,5:57:06,577,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:56:56,500,6/27/22,12:56:56,500,38,Departing,x,x
6/27/22,5:57:16,671,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:57:06,500,6/27/22,12:57:06,500,13,Unknown,x,
6/27/22,5:57:36,827,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:57:26,700,6/27/22,12:57:26,700,15,Arriving,x,x
6/27/22,5:57:46,905,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:57:36,800,6/27/22,12:57:36,800,56,Departing,x,x
6/27/22,5:57:56,983,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:57:46,900,6/27/22,12:57:46,900,93,Departing,x,x
6/27/22,5:58:07,93,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:57:56,900,6/27/22,12:57:56,900,83,Departing,x,x
6/27/22,5:58:17,171,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:58:07,0,6/27/22,12:58:07,0,26,Arriving,x,x
6/27/22,5:58:27,249,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:58:17,100,6/27/22,12:58:17,100,108,Departing,x,x
6/27/22,5:58:37,296,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:58:27,200,6/27/22,12:58:27,200,191,Departing,x,x
6/27/22,5:58:47,374,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:58:37,300,6/27/22,12:58:37,300,104,Departing,x,x
6/27/22,5:58:57,452,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:58:47,300,6/27/22,12:58:47,300,171,Departing,x,x
6/27/22,5:59:07,546,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:58:57,400,6/27/22,12:58:57,400,44,Departing,x,x
6/27/22,5:59:17,608,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:59:07,500,6/27/22,12:59:07,500,71,Arriving,x,x
6/27/22,5:59:27,718,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:59:17,600,6/27/22,12:59:17,600,212,Arriving,x,x
6/27/22,5:59:37,796,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:59:27,600,6/27/22,12:59:27,600,226,Arriving,x,x
6/27/22,5:59:47,890,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:59:37,700,6/27/22,12:59:37,700,227,Arriving,x,x
6/27/22,5:59:57,983,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:59:47,800,6/27/22,12:59:47,800,207,Arriving,x,x
6/27/22,6:00:08,62,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,12:59:57,900,6/27/22,12:59:57,900,204,Arriving,x,x
6/27/22,6:00:18,140,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:00:08,0,6/27/22,13:00:08,0,219,Arriving,x,x
6/27/22,6:00:28,249,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:00:18,100,6/27/22,13:00:18,100,227,Arriving,x,x
6/27/22,6:00:38,358,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:00:28,200,6/27/22,13:00:28,200,220,Arriving,x,x
6/27/22,6:00:48,468,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:00:38,300,6/27/22,13:00:38,300,232,Arriving,x,x
6/27/22,6:00:58,546,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:00:48,400,6/27/22,13:00:48,400,227,Arriving,x,x
6/27/22,6:01:08,640,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:00:58,500,6/27/22,13:00:58,500,227,Departing,x,x
6/27/22,6:01:18,718,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:01:08,600,6/27/22,13:01:08,600,207,Arriving,x,x
6/27/22,6:01:28,812,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:01:18,700,6/27/22,13:01:18,700,210,Arriving,x,x
6/27/22,6:01:38,890,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:01:28,700,6/27/22,13:01:28,700,209,Unknown,x,
6/27/22,6:01:48,968,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:01:38,800,6/27/22,13:01:38,800,211,Unknown,x,
6/27/22,6:01:59,62,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:01:48,900,6/27/22,13:01:48,900,210,Unknown,x,
6/27/22,6:02:09,171,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:01:59,0,6/27/22,13:01:59,0,205,Unknown,x,
6/27/22,6:02:19,249,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:02:09,100,6/27/22,13:02:09,100,3,Unknown,x,
6/27/22,6:02:29,327,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:02:19,200,6/27/22,13:02:19,200,11,Unknown,x,
6/27/22,6:04:10,46,10,200330,25SQCMICSBB13420096AE,DPC,6/27/22,13:03:59,900,6/27/22,13:03:59,900,11,Departing,x,x
6/27/22,6:07:11,343,10,200330,25SQCMICSBBD6F4009635,DPC,6/27/22,13:07:01,200,6/27/22,13:07:01,200,12,Unknown,x,
6/27/22,6:07:51,593,10,200330,25SQCMICSBB2C40009679,DPC,6/27/22,13:07:41,500,6/27/22,13:07:41,500,54,Departing,x,x
6/27/22,6:10:32,733,10,200330,25SQCMICSBB2C40009679,DPC,6/27/22,13:10:22,600,6/27/22,13:10:22,600,30,Arriving,x,x
6/27/22,6:17:35,687,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:17:25,600,6/27/22,13:17:25,600,52,Departing,x,x
6/27/22,6:17:45,765,10,200330,25SQCMICSBB13420096AE,DPC,6/27/22,13:17:35,600,6/27/22,13:17:35,600,45,Arriving,x,x
6/27/22,6:17:55,843,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:17:45,700,6/27/22,13:17:45,700,193,Departing,x,x
6/27/22,6:18:05,921,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:17:55,800,6/27/22,13:17:55,800,183,Departing,x,x
6/27/22,6:18:15,999,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:18:05,900,6/27/22,13:18:05,900,171,Departing,x,x
6/27/22,6:18:26,93,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:18:16,0,6/27/22,13:18:16,0,184,Departing,x,x
6/27/22,6:18:36,171,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:18:26,0,6/27/22,13:18:26,0,196,Departing,x,x
6/27/22,6:18:46,265,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:18:36,100,6/27/22,13:18:36,100,211,Departing,x,x
6/27/22,6:18:56,343,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:18:46,200,6/27/22,13:18:46,200,202,Departing,x,x
6/27/22,6:19:06,452,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:18:56,300,6/27/22,13:18:56,300,211,Departing,x,x
6/27/22,6:19:16,515,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:19:06,400,6/27/22,13:19:06,400,204,Departing,x,x
6/27/22,6:19:26,608,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:19:16,500,6/27/22,13:19:16,500,205,Unknown,x,
6/27/22,6:19:36,687,10,200330,25SQCMICSBB0F49009BBC,DPC,6/27/22,13:19:26,500,6/27/22,13:19:26,500,213,Departing,x,x
