File,Creation,Time,UTC,8/14/22,19:53,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,
SW,Version,v01,9,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,
SW,StartTime,8/14/22,19:50,,,,,,,
Lib,Version,v1,6,3,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,
OS,Version,v10,0,17763,865,,,,,
,,,,,,,,,,
,,,,,,,,,,
Settings,,,,,,,,,,
,Scan,mode,DOC,,,,,,,
,FilterDuplicates,,,,,,,,,
,,Enabled,YES,,,,,,,
,,TimeToFilter_Seconds,5,,,,,,,
,,,,,,,,,,
Found,Hardware,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,
,0x10,200330,D0,22,98,26,6,2.0,,
,0x13,200328,D0,22,98,26,6,2.0,,
,,,,,,,,,,
,,,,,,,,,,
Date,Timestamp,HexAddress,ReaderID,UID,Collection,DataType,Ant,,Number,Temp(°C)
2022-08-14,16:05:35,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:05:35,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:05:36,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:05:38,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:05:41,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:05:41,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:05:41,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:05:48,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:05:49,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:05:51,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:05:51,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:06:01,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:06:01,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:06:02,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:06:02,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:06:02,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:06:02,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:06:03,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:06:03,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:06:03,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:06:03,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:06:14,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:06:14,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:06:27,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:06:54,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:06:54,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:11:04,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:05,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:11:05,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:11:06,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:07,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:11:07,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:07,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:11:07,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:11:07,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:12:58,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,16:12:59,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,16:15:20,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:15:20,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:16:12,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,16:16:12,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,16:16:12,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,16:16:12,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,16:29:43,100,10,200330,25SQCMICSBBAC0800963C,,DOC,1.0,-,
2022-08-14,16:29:44,100,10,200330,25SQCMICSBBAC0800963C,,DOC,2.0,-,
2022-08-14,16:35:18,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:35:20,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:35:21,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:35:41,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:35:43,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:35:46,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,16:35:47,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-14,16:35:47,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,16:35:47,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-14,16:35:47,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,16:35:47,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-14,16:40:23,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,16:40:24,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,16:40:35,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:40:41,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:40:42,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:40:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:40:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:40:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:40:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:40:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:40:43,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:40:44,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:40:44,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:40:47,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:40:47,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:40:48,100,10,200330,25SQCMICSBB264100B1B7,,DOC,1.0,-,
2022-08-14,16:40:50,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,16:41:08,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,1.0,-,
2022-08-14,16:41:10,100,10,200330,25SQCMICSBB3A6700B0E0,,DOC,2.0,-,
2022-08-14,16:51:04,100,10,200330,25SQCMICSBB264100B1B7,,DOC,2.0,-,
2022-08-14,16:54:26,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,16:54:29,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,16:54:30,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,16:54:30,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,16:54:30,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,16:54:30,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,16:54:40,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,16:54:41,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,16:54:41,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,16:54:41,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,16:54:41,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,16:54:41,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,16:54:45,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,16:54:46,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,16:54:46,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,16:54:46,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,16:54:49,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,17:05:04,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,17:05:16,100,10,200330,25SQCMICSBB645800B1A0,,DOC,1.0,-,
2022-08-14,17:05:17,100,10,200330,25SQCMICSBB645800B1A0,,DOC,2.0,-,
2022-08-14,17:14:45,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,17:14:46,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,17:14:46,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,17:14:46,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,17:30:36,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,1.0,-,
2022-08-14,17:30:37,100,10,200330,25SQCMICSBBCF0D00AAAF,,DOC,2.0,-,
2022-08-14,19:02:16,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
